text,label
Sejumlah pelaku tawuran diamankan di Jalan Kartini pada Rabu sore.,TAWURAN
Polisi menangkap pelaku begal di Jalan Merdeka pada Jumat malam.,BEGAL
Pencurian barang terjadi di kawasan Jalan Citayam pada Kamis pagi.,PENCURIAN
Korban pembacokan ditemukan di kawasan Jalan Kemang pada Selasa pagi.,PEMBACOKAN
Dua warga menjadi korban pembacokan di Jalan Arif Rahman Hakim pada Jumat malam.,PEMBACOKAN
Sebuah bangunan terbakar di Jalan Sawangan pada Selasa malam.,KEBAKARAN
Dua warga menjadi korban pembacokan di Jalan Pemuda pada Kamis pagi.,PEMBACOKAN
Petugas memadamkan kebakaran di Jalan Citayam pada Minggu malam.,KEBAKARAN
Petugas memadamkan kebakaran di Jalan Juanda pada Kamis malam.,KEBAKARAN
Seorang pria dibacok di Jalan Margonda saat Kamis pagi.,PEMBACOKAN
Kebakaran rumah terjadi di Jalan Dewi Sartika pada Jumat sore.,KEBAKARAN
Terjadi aksi pembegalan terhadap pengendara di Jalan Sudirman pada Sabtu malam.,BEGAL
Pencurian barang terjadi di kawasan Jalan Arif Rahman Hakim pada Sabtu pagi.,PENCURIAN
Kasus pembegalan terjadi di kawasan Jalan Merdeka pada Minggu sore.,BEGAL
Korban pembacokan ditemukan di kawasan Jalan Juanda pada Selasa pagi.,PEMBACOKAN
Seorang pria dibacok di Jalan Arif Rahman Hakim saat Kamis pagi.,PEMBACOKAN
Petugas memadamkan kebakaran di Jalan Citayam pada Minggu malam.,KEBAKARAN
Kebakaran terjadi di kawasan Jalan Juanda pada Kamis malam.,KEBAKARAN
Terjadi aksi pembegalan terhadap pengendara di Jalan Merdeka pada Kamis pagi.,BEGAL
Tawuran antar remaja terjadi di Jalan Nusantara pada Kamis pagi.,TAWURAN
Kasus pencurian sepeda motor terjadi di Jalan Dewi Sartika pada Minggu sore.,PENCURIAN
Warga melaporkan tawuran di kawasan Jalan Sawangan pada Selasa pagi.,TAWURAN
Sejumlah pelaku tawuran diamankan di Jalan Citayam pada Selasa malam.,TAWURAN
Polisi menangani kasus pembacokan di Jalan Siliwangi pada Selasa pagi.,PEMBACOKAN
Warga melaporkan aksi begal di Jalan Kemang saat Selasa malam.,BEGAL
Kecelakaan lalu lintas terjadi di Jalan Dewi Sartika pada Jumat sore.,KECELAKAAN
Pelaku pencurian ditangkap polisi di Jalan Diponegoro pada Kamis malam.,PENCURIAN
Sepeda motor warga dicuri di Jalan Juanda pada Selasa pagi.,PENCURIAN
Sepeda motor warga dicuri di Jalan Kemang pada Senin malam.,PENCURIAN
Polisi membubarkan aksi tawuran di Jalan Pemuda saat Sabtu malam.,TAWURAN
Kasus pembegalan terjadi di kawasan Jalan Arif Rahman Hakim pada Minggu sore.,BEGAL
Kecelakaan kendaraan terjadi di kawasan Jalan Kartini pada Kamis pagi.,KECELAKAAN
Polisi menangkap pelaku begal di Jalan Kemang pada Rabu sore.,BEGAL
Polisi menangani kecelakaan lalu lintas di Jalan Juanda pada Minggu sore.,KECELAKAAN
Dua kendaraan bertabrakan di Jalan Citayam saat Selasa pagi.,KECELAKAAN
Warga melaporkan aksi pembacokan di Jalan Citayam pada Selasa malam.,PEMBACOKAN
Petugas memadamkan kebakaran di Jalan Pemuda pada Sabtu malam.,KEBAKARAN
Polisi menangkap pelaku begal di Jalan Sawangan pada Senin pagi.,BEGAL
Polisi menangani kasus pembacokan di Jalan Sudirman pada Selasa malam.,PEMBACOKAN
Seorang pria dibacok di Jalan Pemuda saat Sabtu malam.,PEMBACOKAN
Polisi menangani kasus pembacokan di Jalan Diponegoro pada Sabtu malam.,PEMBACOKAN
Seorang pengendara mengalami kecelakaan di Jalan Sudirman pada Sabtu malam.,KECELAKAAN
Polisi menangani kasus pembacokan di Jalan Sawangan pada Kamis pagi.,PEMBACOKAN
Korban pembacokan ditemukan di kawasan Jalan Pemuda pada Rabu sore.,PEMBACOKAN
Polisi menangani kecelakaan lalu lintas di Jalan Arif Rahman Hakim pada Minggu sore.,KECELAKAAN
Korban pembacokan ditemukan di kawasan Jalan Sudirman pada Jumat malam.,PEMBACOKAN
Sejumlah pelaku tawuran diamankan di Jalan Dewi Sartika pada Kamis pagi.,TAWURAN
Pencurian barang terjadi di kawasan Jalan Kemang pada Sabtu pagi.,PENCURIAN
Pengendara menjadi korban begal di Jalan Diponegoro pada Minggu sore.,BEGAL
Kecelakaan kendaraan terjadi di kawasan Jalan Diponegoro pada Sabtu pagi.,KECELAKAAN
Sejumlah pelaku tawuran diamankan di Jalan Juanda pada Sabtu malam.,TAWURAN
Kecelakaan lalu lintas terjadi di Jalan Sudirman pada Sabtu pagi.,KECELAKAAN
Warga melaporkan aksi pembacokan di Jalan Dewi Sartika pada Kamis malam.,PEMBACOKAN
Kebakaran rumah terjadi di Jalan Kartini pada Senin malam.,KEBAKARAN
Api melalap sebuah toko di Jalan Juanda saat Senin pagi.,KEBAKARAN
Warga melaporkan tawuran di kawasan Jalan Juanda pada Rabu sore.,TAWURAN
Kebakaran terjadi di kawasan Jalan Citayam pada Jumat malam.,KEBAKARAN
Kecelakaan lalu lintas terjadi di Jalan Juanda pada Minggu sore.,KECELAKAAN
Seorang pengendara mengalami kecelakaan di Jalan Diponegoro pada Minggu sore.,KECELAKAAN
Kebakaran terjadi di kawasan Jalan Nusantara pada Rabu sore.,KEBAKARAN
Warga melaporkan pencurian kendaraan di Jalan Arif Rahman Hakim saat Minggu malam.,PENCURIAN
Petugas memadamkan kebakaran di Jalan Citayam pada Kamis pagi.,KEBAKARAN
Api melalap sebuah toko di Jalan Raya Bogor saat Senin pagi.,KEBAKARAN
Dua warga menjadi korban pembacokan di Jalan Raya Bogor pada Rabu malam.,PEMBACOKAN
Sepeda motor warga dicuri di Jalan Raya Bogor pada Minggu sore.,PENCURIAN
Warga melaporkan tawuran di kawasan Jalan Kartini pada Jumat malam.,TAWURAN
Sepeda motor warga dicuri di Jalan Diponegoro pada Sabtu malam.,PENCURIAN
Pelaku pencurian ditangkap polisi di Jalan Dewi Sartika pada Minggu sore.,PENCURIAN
Kebakaran rumah terjadi di Jalan Pemuda pada Rabu sore.,KEBAKARAN
Warga melaporkan aksi begal di Jalan Merdeka saat Rabu sore.,BEGAL
Sejumlah pelaku tawuran diamankan di Jalan Siliwangi pada Selasa malam.,TAWURAN
Dua kendaraan bertabrakan di Jalan Sudirman saat Jumat malam.,KECELAKAAN
Pelaku pencurian ditangkap polisi di Jalan Nusantara pada Senin malam.,PENCURIAN
Petugas memadamkan kebakaran di Jalan Citayam pada Minggu malam.,KEBAKARAN
Seorang pengendara mengalami kecelakaan di Jalan Diponegoro pada Minggu sore.,KECELAKAAN
Kasus pencurian sepeda motor terjadi di Jalan Citayam pada Kamis pagi.,PENCURIAN
Pelaku pencurian ditangkap polisi di Jalan Sudirman pada Jumat malam.,PENCURIAN
Terjadi aksi pembegalan terhadap pengendara di Jalan Juanda pada Minggu sore.,BEGAL
Dua kendaraan bertabrakan di Jalan Merdeka saat Rabu sore.,KECELAKAAN
Petugas memadamkan kebakaran di Jalan Raya Bogor pada Sabtu pagi.,KEBAKARAN
Seorang pria dibacok di Jalan Siliwangi saat Minggu sore.,PEMBACOKAN
Kebakaran terjadi di kawasan Jalan Kartini pada Minggu sore.,KEBAKARAN
Tawuran antar remaja terjadi di Jalan Sudirman pada Rabu sore.,TAWURAN
Dua warga menjadi korban pembacokan di Jalan Arif Rahman Hakim pada Rabu malam.,PEMBACOKAN
Warga melaporkan tawuran di kawasan Jalan Sudirman pada Kamis malam.,TAWURAN
Polisi menangkap pelaku begal di Jalan Arif Rahman Hakim pada Sabtu pagi.,BEGAL
Polisi menangani kecelakaan lalu lintas di Jalan Juanda pada Rabu sore.,KECELAKAAN
Dua kendaraan bertabrakan di Jalan Citayam saat Rabu sore.,KECELAKAAN
Warga melaporkan tawuran di kawasan Jalan Merdeka pada Minggu sore.,TAWURAN
Pelaku pencurian ditangkap polisi di Jalan Sudirman pada Selasa malam.,PENCURIAN
Tawuran antar remaja terjadi di Jalan Raya Bogor pada Sabtu pagi.,TAWURAN
Tawuran antar remaja terjadi di Jalan Nusantara pada Senin pagi.,TAWURAN
Kasus pembegalan terjadi di kawasan Jalan Juanda pada Jumat malam.,BEGAL
Warga melaporkan pencurian kendaraan di Jalan Kemang saat Rabu sore.,PENCURIAN
Seorang pengendara mengalami kecelakaan di Jalan Sudirman pada Rabu sore.,KECELAKAAN
Kasus pencurian sepeda motor terjadi di Jalan Nusantara pada Rabu sore.,PENCURIAN
Polisi menangkap pelaku begal di Jalan Juanda pada Jumat sore.,BEGAL
Warga melaporkan aksi pembacokan di Jalan Merdeka pada Senin malam.,PEMBACOKAN
Kasus pencurian sepeda motor terjadi di Jalan Dewi Sartika pada Senin pagi.,PENCURIAN
Sepeda motor warga dicuri di Jalan Raya Bogor pada Selasa malam.,PENCURIAN
Kasus pencurian sepeda motor terjadi di Jalan Kartini pada Sabtu pagi.,PENCURIAN
Kebakaran terjadi di kawasan Jalan Arif Rahman Hakim pada Rabu sore.,KEBAKARAN
Kecelakaan kendaraan terjadi di kawasan Jalan Merdeka pada Selasa malam.,KECELAKAAN
Kasus pembegalan terjadi di kawasan Jalan Margonda pada Sabtu pagi.,BEGAL
Sejumlah pelaku tawuran diamankan di Jalan Margonda pada Jumat sore.,TAWURAN
Dua warga menjadi korban pembacokan di Jalan Nusantara pada Selasa pagi.,PEMBACOKAN
Warga melaporkan aksi begal di Jalan Juanda saat Senin pagi.,BEGAL
Kecelakaan kendaraan terjadi di kawasan Jalan Kartini pada Kamis pagi.,KECELAKAAN
Kebakaran terjadi di kawasan Jalan Sawangan pada Kamis malam.,KEBAKARAN
Polisi menangani kecelakaan lalu lintas di Jalan Sudirman pada Senin pagi.,KECELAKAAN
Api melalap sebuah toko di Jalan Siliwangi saat Jumat malam.,KEBAKARAN
Bentrokan antar kelompok terjadi di Jalan Merdeka pada Sabtu pagi.,TAWURAN
Kecelakaan lalu lintas terjadi di Jalan Arif Rahman Hakim pada Senin malam.,KECELAKAAN
Pencurian barang terjadi di kawasan Jalan Diponegoro pada Jumat malam.,PENCURIAN
Kecelakaan kendaraan terjadi di kawasan Jalan Raya Bogor pada Senin pagi.,KECELAKAAN
Sebuah bangunan terbakar di Jalan Arif Rahman Hakim pada Jumat malam.,KEBAKARAN
Polisi menangkap pelaku begal di Jalan Diponegoro pada Senin pagi.,BEGAL
Korban pembacokan ditemukan di kawasan Jalan Margonda pada Selasa pagi.,PEMBACOKAN
Dua warga menjadi korban pembacokan di Jalan Merdeka pada Senin pagi.,PEMBACOKAN
Pelaku pencurian ditangkap polisi di Jalan Raya Bogor pada Kamis pagi.,PENCURIAN
Warga melaporkan pencurian kendaraan di Jalan Citayam saat Jumat malam.,PENCURIAN
Warga melaporkan aksi begal di Jalan Sawangan saat Minggu sore.,BEGAL
Seorang pria dibacok di Jalan Dewi Sartika saat Jumat sore.,PEMBACOKAN
Warga melaporkan aksi pembacokan di Jalan Nusantara pada Sabtu malam.,PEMBACOKAN
Polisi menangani kasus pembacokan di Jalan Kartini pada Kamis pagi.,PEMBACOKAN
Sejumlah pelaku tawuran diamankan di Jalan Citayam pada Senin pagi.,TAWURAN
Warga melaporkan pencurian kendaraan di Jalan Diponegoro saat Senin pagi.,PENCURIAN
Sebuah bangunan terbakar di Jalan Dewi Sartika pada Selasa pagi.,KEBAKARAN
Warga melaporkan aksi begal di Jalan Sudirman saat Selasa malam.,BEGAL
Warga melaporkan aksi begal di Jalan Raya Bogor saat Jumat sore.,BEGAL
Pengendara menjadi korban begal di Jalan Juanda pada Senin pagi.,BEGAL
Kecelakaan lalu lintas terjadi di Jalan Merdeka pada Minggu sore.,KECELAKAAN
Sepeda motor warga dicuri di Jalan Kemang pada Jumat sore.,PENCURIAN
Kasus pencurian sepeda motor terjadi di Jalan Sawangan pada Kamis malam.,PENCURIAN
Kebakaran rumah terjadi di Jalan Sawangan pada Kamis malam.,KEBAKARAN
Terjadi aksi pembegalan terhadap pengendara di Jalan Dewi Sartika pada Jumat sore.,BEGAL
Korban pembacokan ditemukan di kawasan Jalan Kemang pada Rabu sore.,PEMBACOKAN
Warga melaporkan pencurian kendaraan di Jalan Kartini saat Sabtu malam.,PENCURIAN
Warga melaporkan pencurian kendaraan di Jalan Nusantara saat Senin pagi.,PENCURIAN
Sejumlah pelaku tawuran diamankan di Jalan Diponegoro pada Jumat sore.,TAWURAN
Pengendara menjadi korban begal di Jalan Siliwangi pada Selasa malam.,BEGAL
Kasus pembegalan terjadi di kawasan Jalan Raya Bogor pada Sabtu malam.,BEGAL
Dua kendaraan bertabrakan di Jalan Nusantara saat Kamis pagi.,KECELAKAAN
Pengendara menjadi korban begal di Jalan Margonda pada Senin malam.,BEGAL
Kasus pencurian sepeda motor terjadi di Jalan Juanda pada Rabu malam.,PENCURIAN
Tawuran antar remaja terjadi di Jalan Dewi Sartika pada Kamis pagi.,TAWURAN
Polisi menangani kecelakaan lalu lintas di Jalan Diponegoro pada Sabtu malam.,KECELAKAAN
Terjadi aksi pembegalan terhadap pengendara di Jalan Kemang pada Senin malam.,BEGAL
Kecelakaan kendaraan terjadi di kawasan Jalan Kemang pada Minggu malam.,KECELAKAAN
Seorang pengendara mengalami kecelakaan di Jalan Sudirman pada Sabtu malam.,KECELAKAAN
Petugas memadamkan kebakaran di Jalan Sudirman pada Senin malam.,KEBAKARAN
Warga melaporkan aksi pembacokan di Jalan Pemuda pada Senin pagi.,PEMBACOKAN
Kecelakaan kendaraan terjadi di kawasan Jalan Margonda pada Sabtu malam.,KECELAKAAN
Polisi menangkap pelaku begal di Jalan Nusantara pada Jumat sore.,BEGAL
Kasus pembegalan terjadi di kawasan Jalan Pemuda pada Selasa pagi.,BEGAL
Dua warga menjadi korban pembacokan di Jalan Sawangan pada Senin malam.,PEMBACOKAN
Polisi membubarkan aksi tawuran di Jalan Raya Bogor saat Minggu malam.,TAWURAN
Petugas memadamkan kebakaran di Jalan Margonda pada Jumat malam.,KEBAKARAN
Bentrokan antar kelompok terjadi di Jalan Arif Rahman Hakim pada Jumat sore.,TAWURAN
Polisi menangkap pelaku begal di Jalan Kemang pada Rabu sore.,BEGAL
Kecelakaan lalu lintas terjadi di Jalan Sawangan pada Selasa pagi.,KECELAKAAN
Pelaku pencurian ditangkap polisi di Jalan Dewi Sartika pada Selasa malam.,PENCURIAN
Terjadi aksi pembegalan terhadap pengendara di Jalan Arif Rahman Hakim pada Rabu malam.,BEGAL
Terjadi aksi pembegalan terhadap pengendara di Jalan Siliwangi pada Senin pagi.,BEGAL
Pencurian barang terjadi di kawasan Jalan Sudirman pada Kamis pagi.,PENCURIAN
Warga melaporkan aksi begal di Jalan Siliwangi saat Sabtu pagi.,BEGAL
Terjadi aksi pembegalan terhadap pengendara di Jalan Merdeka pada Minggu sore.,BEGAL
Warga melaporkan aksi pembacokan di Jalan Kartini pada Senin pagi.,PEMBACOKAN
Dua warga menjadi korban pembacokan di Jalan Kartini pada Jumat sore.,PEMBACOKAN
Pencurian barang terjadi di kawasan Jalan Kartini pada Kamis malam.,PENCURIAN
Dua kendaraan bertabrakan di Jalan Kemang saat Sabtu pagi.,KECELAKAAN
Polisi membubarkan aksi tawuran di Jalan Siliwangi saat Selasa pagi.,TAWURAN
Warga melaporkan pencurian kendaraan di Jalan Margonda saat Selasa malam.,PENCURIAN
Warga melaporkan tawuran di kawasan Jalan Kemang pada Selasa pagi.,TAWURAN
Polisi menangkap pelaku begal di Jalan Dewi Sartika pada Minggu malam.,BEGAL
Seorang pengendara mengalami kecelakaan di Jalan Merdeka pada Selasa pagi.,KECELAKAAN
Polisi membubarkan aksi tawuran di Jalan Pemuda saat Rabu sore.,TAWURAN
Polisi menangani kasus pembacokan di Jalan Nusantara pada Senin pagi.,PEMBACOKAN
Seorang pengendara mengalami kecelakaan di Jalan Sudirman pada Sabtu malam.,KECELAKAAN
Warga melaporkan aksi begal di Jalan Arif Rahman Hakim saat Selasa pagi.,BEGAL
Polisi menangani kasus pembacokan di Jalan Sawangan pada Selasa malam.,PEMBACOKAN
Pelaku pencurian ditangkap polisi di Jalan Pemuda pada Rabu sore.,PENCURIAN
Kebakaran rumah terjadi di Jalan Kartini pada Jumat sore.,KEBAKARAN
Tawuran antar remaja terjadi di Jalan Kartini pada Minggu malam.,TAWURAN
Sejumlah pelaku tawuran diamankan di Jalan Kemang pada Jumat sore.,TAWURAN
Warga melaporkan tawuran di kawasan Jalan Pemuda pada Sabtu pagi.,TAWURAN
Bentrokan antar kelompok terjadi di Jalan Diponegoro pada Senin malam.,TAWURAN
Warga melaporkan aksi pembacokan di Jalan Margonda pada Senin malam.,PEMBACOKAN
Warga melaporkan aksi pembacokan di Jalan Kartini pada Jumat malam.,PEMBACOKAN
Kecelakaan lalu lintas terjadi di Jalan Sudirman pada Jumat malam.,KECELAKAAN
Api melalap sebuah toko di Jalan Raya Bogor saat Minggu sore.,KEBAKARAN
Tawuran antar remaja terjadi di Jalan Merdeka pada Jumat sore.,TAWURAN
Sejumlah pelaku tawuran diamankan di Jalan Diponegoro pada Sabtu malam.,TAWURAN
Pencurian barang terjadi di kawasan Jalan Sudirman pada Sabtu pagi.,PENCURIAN
Kecelakaan lalu lintas terjadi di Jalan Kemang pada Senin pagi.,KECELAKAAN
Pencurian barang terjadi di kawasan Jalan Merdeka pada Minggu malam.,PENCURIAN
Seorang pria dibacok di Jalan Kemang saat Jumat sore.,PEMBACOKAN
Bentrokan antar kelompok terjadi di Jalan Arif Rahman Hakim pada Minggu malam.,TAWURAN
Kebakaran terjadi di kawasan Jalan Raya Bogor pada Jumat sore.,KEBAKARAN
Seorang pria dibacok di Jalan Citayam saat Minggu malam.,PEMBACOKAN
Dua kendaraan bertabrakan di Jalan Raya Bogor saat Senin pagi.,KECELAKAAN
Polisi membubarkan aksi tawuran di Jalan Arif Rahman Hakim saat Minggu malam.,TAWURAN
Warga melaporkan tawuran di kawasan Jalan Sudirman pada Rabu sore.,TAWURAN
Pelaku pencurian ditangkap polisi di Jalan Merdeka pada Sabtu pagi.,PENCURIAN
Sejumlah pelaku tawuran diamankan di Jalan Raya Bogor pada Rabu malam.,TAWURAN
Kecelakaan kendaraan terjadi di kawasan Jalan Diponegoro pada Jumat malam.,KECELAKAAN
